name,ingredients,steps,cost,dietary,prep_time
Eggs & Bulgur Fusion Bowl 343,"bulgur, eggs, broccoli, mushrooms, turmeric, cheese","1. Cook the bulgur until tender. 2. Sauté the eggs with turmeric. 3. Add chopped broccoli and mushrooms, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",189.55,vegetarian,26
Tempeh & Bulgur Fusion Bowl 344,"bulgur, tempeh, carrots, onions, cumin, avocado","1. Cook the bulgur until tender. 2. Sauté the tempeh with cumin. 3. Add chopped carrots and onions, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",312.8,pescatarian,15
Tempeh & Couscous Fusion Bowl 345,"couscous, tempeh, cauliflower, carrots, ginger, yogurt","1. Cook the couscous until tender. 2. Sauté the tempeh with ginger. 3. Add chopped cauliflower and carrots, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",381.65,non-vegetarian,21
Kidney Beans & Oats Fusion Bowl 346,"oats, kidney beans, mushrooms, broccoli, mustard, avocado","1. Cook the oats until tender. 2. Sauté the kidney beans with mustard. 3. Add chopped mushrooms and broccoli, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",280.5,low-carb,19
Chicken & Quinoa Fusion Bowl 347,"quinoa, chicken, broccoli, spinach, chili powder, lemon","1. Cook the quinoa until tender. 2. Sauté the chicken with chili powder. 3. Add chopped broccoli and spinach, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",307.7,non-vegetarian,14
Beef & Barley Fusion Bowl 348,"barley, beef, spinach, zucchini, turmeric, lime","1. Cook the barley until tender. 2. Sauté the beef with turmeric. 3. Add chopped spinach and zucchini, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",314.5,pescatarian,16
Eggs & Couscous Fusion Bowl 349,"couscous, eggs, mushrooms, kale, curry powder, honey","1. Cook the couscous until tender. 2. Sauté the eggs with curry powder. 3. Add chopped mushrooms and kale, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",342.55,non-vegetarian,19
Chickpeas & Quinoa Fusion Bowl 350,"quinoa, chickpeas, carrots, mushrooms, vinegar, peanut butter","1. Cook the quinoa until tender. 2. Sauté the chickpeas with vinegar. 3. Add chopped carrots and mushrooms, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",392.7,high-protein,12
Tempeh & Millet Fusion Bowl 351,"millet, tempeh, mushrooms, tomatoes, cumin, honey","1. Cook the millet until tender. 2. Sauté the tempeh with cumin. 3. Add chopped mushrooms and tomatoes, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",215.05,high-protein,24
Seitan & Oats Fusion Bowl 352,"oats, seitan, spinach, onions, mustard, cheese","1. Cook the oats until tender. 2. Sauté the seitan with mustard. 3. Add chopped spinach and onions, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",310.25,high-protein,26
Beef & Couscous Fusion Bowl 353,"couscous, beef, carrots, zucchini, cumin, peanut butter","1. Cook the couscous until tender. 2. Sauté the beef with cumin. 3. Add chopped carrots and zucchini, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",235.45,low-carb,20
Eggs & Millet Fusion Bowl 354,"millet, eggs, kale, cauliflower, vinegar, avocado","1. Cook the millet until tender. 2. Sauté the eggs with vinegar. 3. Add chopped kale and cauliflower, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",240.55,high-protein,25
Beef & Bulgur Fusion Bowl 355,"bulgur, beef, carrots, onions, soy sauce, yogurt","1. Cook the bulgur until tender. 2. Sauté the beef with soy sauce. 3. Add chopped carrots and onions, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",307.7,dairy-free,18
Kidney Beans & Oats Fusion Bowl 356,"oats, kidney beans, broccoli, kale, cumin, seeds","1. Cook the oats until tender. 2. Sauté the kidney beans with cumin. 3. Add chopped broccoli and kale, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",408,high-protein,17
Tofu & Barley Fusion Bowl 357,"barley, tofu, onions, cauliflower, curry powder, honey","1. Cook the barley until tender. 2. Sauté the tofu with curry powder. 3. Add chopped onions and cauliflower, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",316.2,vegan,30
Seitan & Oats Fusion Bowl 358,"oats, seitan, zucchini, cauliflower, curry powder, seeds","1. Cook the oats until tender. 2. Sauté the seitan with curry powder. 3. Add chopped zucchini and cauliflower, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",170,low-carb,13
Tempeh & Bulgur Fusion Bowl 359,"bulgur, tempeh, kale, spinach, cumin, peanut butter","1. Cook the bulgur until tender. 2. Sauté the tempeh with cumin. 3. Add chopped kale and spinach, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",403.75,high-protein,24
Beef & Bulgur Fusion Bowl 360,"bulgur, beef, kale, cauliflower, soy sauce, seeds","1. Cook the bulgur until tender. 2. Sauté the beef with soy sauce. 3. Add chopped kale and cauliflower, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",225.25,vegan,12
Chickpeas & Bulgur Fusion Bowl 361,"bulgur, chickpeas, carrots, onions, soy sauce, seeds","1. Cook the bulgur until tender. 2. Sauté the chickpeas with soy sauce. 3. Add chopped carrots and onions, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",368.05,high-protein,25
Seitan & Couscous Fusion Bowl 362,"couscous, seitan, kale, mushrooms, sriracha, seeds","1. Cook the couscous until tender. 2. Sauté the seitan with sriracha. 3. Add chopped kale and mushrooms, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",276.25,gluten-free,15
Tuna & Barley Fusion Bowl 363,"barley, tuna, zucchini, tomatoes, chili powder, lime","1. Cook the barley until tender. 2. Sauté the tuna with chili powder. 3. Add chopped zucchini and tomatoes, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",283.05,vegan,18
Chicken & Couscous Fusion Bowl 364,"couscous, chicken, zucchini, broccoli, sriracha, avocado","1. Cook the couscous until tender. 2. Sauté the chicken with sriracha. 3. Add chopped zucchini and broccoli, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",328.95,dairy-free,21
Lentils & Oats Fusion Bowl 365,"oats, lentils, zucchini, tomatoes, mustard, lime","1. Cook the oats until tender. 2. Sauté the lentils with mustard. 3. Add chopped zucchini and tomatoes, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",350.2,pescatarian,20
Chickpeas & Barley Fusion Bowl 366,"barley, chickpeas, spinach, carrots, ginger, lemon","1. Cook the barley until tender. 2. Sauté the chickpeas with ginger. 3. Add chopped spinach and carrots, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",230.35,non-vegetarian,26
Tuna & Millet Fusion Bowl 367,"millet, tuna, onions, tomatoes, soy sauce, avocado","1. Cook the millet until tender. 2. Sauté the tuna with soy sauce. 3. Add chopped onions and tomatoes, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",257.55,gluten-free,28
Seitan & Barley Fusion Bowl 368,"barley, seitan, tomatoes, kale, mustard, maple syrup","1. Cook the barley until tender. 2. Sauté the seitan with mustard. 3. Add chopped tomatoes and kale, cook until soft. 4. Stir in maple syrup, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",209.1,high-protein,21
Tuna & Couscous Fusion Bowl 369,"couscous, tuna, kale, onions, chili powder, peanut butter","1. Cook the couscous until tender. 2. Sauté the tuna with chili powder. 3. Add chopped kale and onions, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",266.05,vegan,24
Tempeh & Quinoa Fusion Bowl 370,"quinoa, tempeh, zucchini, broccoli, vinegar, maple syrup","1. Cook the quinoa until tender. 2. Sauté the tempeh with vinegar. 3. Add chopped zucchini and broccoli, cook until soft. 4. Stir in maple syrup, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",312.8,vegan,20
Tofu & Couscous Fusion Bowl 371,"couscous, tofu, kale, mushrooms, soy sauce, nuts","1. Cook the couscous until tender. 2. Sauté the tofu with soy sauce. 3. Add chopped kale and mushrooms, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",262.65,low-carb,24
Chicken & Barley Fusion Bowl 372,"barley, chicken, onions, mushrooms, cumin, lemon","1. Cook the barley until tender. 2. Sauté the chicken with cumin. 3. Add chopped onions and mushrooms, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",419.9,vegan,28
Tuna & Couscous Fusion Bowl 373,"couscous, tuna, zucchini, cauliflower, cumin, maple syrup","1. Cook the couscous until tender. 2. Sauté the tuna with cumin. 3. Add chopped zucchini and cauliflower, cook until soft. 4. Stir in maple syrup, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",413.1,non-vegetarian,24
Chicken & Couscous Fusion Bowl 374,"couscous, chicken, kale, tomatoes, garlic, cheese","1. Cook the couscous until tender. 2. Sauté the chicken with garlic. 3. Add chopped kale and tomatoes, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",272.85,dairy-free,28
Tempeh & Rice Fusion Bowl 375,"rice, tempeh, zucchini, tomatoes, mustard, cheese","1. Cook the rice until tender. 2. Sauté the tempeh with mustard. 3. Add chopped zucchini and tomatoes, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",378.25,gluten-free,27
Kidney Beans & Couscous Fusion Bowl 376,"couscous, kidney beans, tomatoes, onions, garlic, honey","1. Cook the couscous until tender. 2. Sauté the kidney beans with garlic. 3. Add chopped tomatoes and onions, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",182.75,vegetarian,21
Chickpeas & Rice Fusion Bowl 377,"rice, chickpeas, onions, cauliflower, mustard, yogurt","1. Cook the rice until tender. 2. Sauté the chickpeas with mustard. 3. Add chopped onions and cauliflower, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",391,vegan,20
Tofu & Bulgur Fusion Bowl 378,"bulgur, tofu, carrots, tomatoes, sriracha, yogurt","1. Cook the bulgur until tender. 2. Sauté the tofu with sriracha. 3. Add chopped carrots and tomatoes, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",287.3,vegetarian,23
Tofu & Couscous Fusion Bowl 379,"couscous, tofu, broccoli, cauliflower, turmeric, lemon","1. Cook the couscous until tender. 2. Sauté the tofu with turmeric. 3. Add chopped broccoli and cauliflower, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",236.3,low-carb,16
Tempeh & Quinoa Fusion Bowl 380,"quinoa, tempeh, tomatoes, carrots, turmeric, yogurt","1. Cook the quinoa until tender. 2. Sauté the tempeh with turmeric. 3. Add chopped tomatoes and carrots, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",368.05,gluten-free,18
Tofu & Quinoa Fusion Bowl 381,"quinoa, tofu, zucchini, spinach, soy sauce, maple syrup","1. Cook the quinoa until tender. 2. Sauté the tofu with soy sauce. 3. Add chopped zucchini and spinach, cook until soft. 4. Stir in maple syrup, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",272,dairy-free,21
Tuna & Oats Fusion Bowl 382,"oats, tuna, spinach, kale, garlic, nuts","1. Cook the oats until tender. 2. Sauté the tuna with garlic. 3. Add chopped spinach and kale, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",188.7,non-vegetarian,29
Tofu & Couscous Fusion Bowl 383,"couscous, tofu, kale, carrots, curry powder, maple syrup","1. Cook the couscous until tender. 2. Sauté the tofu with curry powder. 3. Add chopped kale and carrots, cook until soft. 4. Stir in maple syrup, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",220.15,vegan,23
Seitan & Oats Fusion Bowl 384,"oats, seitan, tomatoes, mushrooms, ginger, cheese","1. Cook the oats until tender. 2. Sauté the seitan with ginger. 3. Add chopped tomatoes and mushrooms, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",215.9,pescatarian,14
Lentils & Oats Fusion Bowl 385,"oats, lentils, carrots, zucchini, garlic, yogurt","1. Cook the oats until tender. 2. Sauté the lentils with garlic. 3. Add chopped carrots and zucchini, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",422.45,non-vegetarian,16
Tempeh & Quinoa Fusion Bowl 386,"quinoa, tempeh, carrots, zucchini, ginger, maple syrup","1. Cook the quinoa until tender. 2. Sauté the tempeh with ginger. 3. Add chopped carrots and zucchini, cook until soft. 4. Stir in maple syrup, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",213.35,low-carb,24
Tempeh & Quinoa Fusion Bowl 387,"quinoa, tempeh, tomatoes, onions, garlic, yogurt","1. Cook the quinoa until tender. 2. Sauté the tempeh with garlic. 3. Add chopped tomatoes and onions, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",243.95,vegetarian,23
Tuna & Couscous Fusion Bowl 388,"couscous, tuna, mushrooms, zucchini, sriracha, lime","1. Cook the couscous until tender. 2. Sauté the tuna with sriracha. 3. Add chopped mushrooms and zucchini, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",256.7,pescatarian,22
Kidney Beans & Millet Fusion Bowl 389,"millet, kidney beans, cauliflower, spinach, cumin, nuts","1. Cook the millet until tender. 2. Sauté the kidney beans with cumin. 3. Add chopped cauliflower and spinach, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",369.75,dairy-free,24
Seitan & Couscous Fusion Bowl 390,"couscous, seitan, mushrooms, broccoli, mustard, yogurt","1. Cook the couscous until tender. 2. Sauté the seitan with mustard. 3. Add chopped mushrooms and broccoli, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",405.45,vegan,14
Lentils & Couscous Fusion Bowl 391,"couscous, lentils, carrots, zucchini, chili powder, honey","1. Cook the couscous until tender. 2. Sauté the lentils with chili powder. 3. Add chopped carrots and zucchini, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",408,high-protein,21
Tempeh & Quinoa Fusion Bowl 392,"quinoa, tempeh, cauliflower, spinach, garlic, cheese","1. Cook the quinoa until tender. 2. Sauté the tempeh with garlic. 3. Add chopped cauliflower and spinach, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",186.15,pescatarian,30
Chickpeas & Quinoa Fusion Bowl 393,"quinoa, chickpeas, carrots, onions, chili powder, cheese","1. Cook the quinoa until tender. 2. Sauté the chickpeas with chili powder. 3. Add chopped carrots and onions, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",406.3,vegetarian,14
Lentils & Couscous Fusion Bowl 394,"couscous, lentils, cauliflower, tomatoes, cumin, peanut butter","1. Cook the couscous until tender. 2. Sauté the lentils with cumin. 3. Add chopped cauliflower and tomatoes, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",330.65,low-carb,20
Tuna & Couscous Fusion Bowl 395,"couscous, tuna, kale, broccoli, mustard, lime","1. Cook the couscous until tender. 2. Sauté the tuna with mustard. 3. Add chopped kale and broccoli, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",277.1,low-carb,16
Chickpeas & Quinoa Fusion Bowl 396,"quinoa, chickpeas, cauliflower, mushrooms, sriracha, lime","1. Cook the quinoa until tender. 2. Sauté the chickpeas with sriracha. 3. Add chopped cauliflower and mushrooms, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",354.45,vegetarian,19
Tofu & Quinoa Fusion Bowl 397,"quinoa, tofu, cauliflower, tomatoes, garlic, cheese","1. Cook the quinoa until tender. 2. Sauté the tofu with garlic. 3. Add chopped cauliflower and tomatoes, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",392.7,vegan,26
Tuna & Millet Fusion Bowl 398,"millet, tuna, mushrooms, cauliflower, soy sauce, maple syrup","1. Cook the millet until tender. 2. Sauté the tuna with soy sauce. 3. Add chopped mushrooms and cauliflower, cook until soft. 4. Stir in maple syrup, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",385.05,high-protein,21
Beef & Couscous Fusion Bowl 399,"couscous, beef, carrots, spinach, cumin, peanut butter","1. Cook the couscous until tender. 2. Sauté the beef with cumin. 3. Add chopped carrots and spinach, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",400.35,gluten-free,19
Tuna & Rice Fusion Bowl 400,"rice, tuna, cauliflower, kale, ginger, honey","1. Cook the rice until tender. 2. Sauté the tuna with ginger. 3. Add chopped cauliflower and kale, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",213.35,dairy-free,18
Seitan & Couscous Fusion Bowl 401,"couscous, seitan, zucchini, carrots, mustard, yogurt","1. Cook the couscous until tender. 2. Sauté the seitan with mustard. 3. Add chopped zucchini and carrots, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",251.6,pescatarian,18
Eggs & Barley Fusion Bowl 402,"barley, eggs, broccoli, onions, vinegar, peanut butter","1. Cook the barley until tender. 2. Sauté the eggs with vinegar. 3. Add chopped broccoli and onions, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",289.85,gluten-free,24
Tempeh & Bulgur Fusion Bowl 403,"bulgur, tempeh, cauliflower, tomatoes, chili powder, lime","1. Cook the bulgur until tender. 2. Sauté the tempeh with chili powder. 3. Add chopped cauliflower and tomatoes, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",371.45,low-carb,21
Kidney Beans & Couscous Fusion Bowl 404,"couscous, kidney beans, zucchini, kale, sriracha, avocado","1. Cook the couscous until tender. 2. Sauté the kidney beans with sriracha. 3. Add chopped zucchini and kale, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",204,non-vegetarian,13
Tempeh & Oats Fusion Bowl 405,"oats, tempeh, zucchini, onions, soy sauce, lemon","1. Cook the oats until tender. 2. Sauté the tempeh with soy sauce. 3. Add chopped zucchini and onions, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",345.95,non-vegetarian,21
Chicken & Bulgur Fusion Bowl 406,"bulgur, chicken, zucchini, cauliflower, turmeric, cheese","1. Cook the bulgur until tender. 2. Sauté the chicken with turmeric. 3. Add chopped zucchini and cauliflower, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",396.1,vegetarian,16
Chickpeas & Barley Fusion Bowl 407,"barley, chickpeas, zucchini, tomatoes, mustard, nuts","1. Cook the barley until tender. 2. Sauté the chickpeas with mustard. 3. Add chopped zucchini and tomatoes, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",256.7,low-carb,14
Seitan & Quinoa Fusion Bowl 408,"quinoa, seitan, mushrooms, broccoli, chili powder, yogurt","1. Cook the quinoa until tender. 2. Sauté the seitan with chili powder. 3. Add chopped mushrooms and broccoli, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",325.55,vegetarian,22
Kidney Beans & Quinoa Fusion Bowl 409,"quinoa, kidney beans, zucchini, onions, curry powder, avocado","1. Cook the quinoa until tender. 2. Sauté the kidney beans with curry powder. 3. Add chopped zucchini and onions, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",175.95,dairy-free,27
Kidney Beans & Rice Fusion Bowl 410,"rice, kidney beans, zucchini, onions, sriracha, cheese","1. Cook the rice until tender. 2. Sauté the kidney beans with sriracha. 3. Add chopped zucchini and onions, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",226.95,non-vegetarian,20
Lentils & Couscous Fusion Bowl 411,"couscous, lentils, mushrooms, tomatoes, soy sauce, peanut butter","1. Cook the couscous until tender. 2. Sauté the lentils with soy sauce. 3. Add chopped mushrooms and tomatoes, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",213.35,pescatarian,14
Tofu & Barley Fusion Bowl 412,"barley, tofu, carrots, broccoli, ginger, lemon","1. Cook the barley until tender. 2. Sauté the tofu with ginger. 3. Add chopped carrots and broccoli, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",180.2,gluten-free,26
Chickpeas & Oats Fusion Bowl 413,"oats, chickpeas, onions, tomatoes, ginger, lemon","1. Cook the oats until tender. 2. Sauté the chickpeas with ginger. 3. Add chopped onions and tomatoes, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",260.95,gluten-free,12
Tempeh & Rice Fusion Bowl 414,"rice, tempeh, broccoli, spinach, sriracha, yogurt","1. Cook the rice until tender. 2. Sauté the tempeh with sriracha. 3. Add chopped broccoli and spinach, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",220.15,high-protein,19
Tuna & Bulgur Fusion Bowl 415,"bulgur, tuna, kale, broccoli, chili powder, cheese","1. Cook the bulgur until tender. 2. Sauté the tuna with chili powder. 3. Add chopped kale and broccoli, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",348.5,vegan,24
Chicken & Millet Fusion Bowl 416,"millet, chicken, kale, broccoli, sriracha, honey","1. Cook the millet until tender. 2. Sauté the chicken with sriracha. 3. Add chopped kale and broccoli, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",378.25,dairy-free,21
Kidney Beans & Millet Fusion Bowl 417,"millet, kidney beans, tomatoes, spinach, curry powder, lime","1. Cook the millet until tender. 2. Sauté the kidney beans with curry powder. 3. Add chopped tomatoes and spinach, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",402.9,pescatarian,23
Chickpeas & Barley Fusion Bowl 418,"barley, chickpeas, spinach, broccoli, sriracha, maple syrup","1. Cook the barley until tender. 2. Sauté the chickpeas with sriracha. 3. Add chopped spinach and broccoli, cook until soft. 4. Stir in maple syrup, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",425,gluten-free,19
Tempeh & Millet Fusion Bowl 419,"millet, tempeh, onions, carrots, garlic, honey","1. Cook the millet until tender. 2. Sauté the tempeh with garlic. 3. Add chopped onions and carrots, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",171.7,vegan,25
Tempeh & Oats Fusion Bowl 420,"oats, tempeh, cauliflower, zucchini, cumin, avocado","1. Cook the oats until tender. 2. Sauté the tempeh with cumin. 3. Add chopped cauliflower and zucchini, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",196.35,vegetarian,27
Kidney Beans & Oats Fusion Bowl 421,"oats, kidney beans, carrots, zucchini, turmeric, peanut butter","1. Cook the oats until tender. 2. Sauté the kidney beans with turmeric. 3. Add chopped carrots and zucchini, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",356.15,low-carb,24
Chickpeas & Quinoa Fusion Bowl 422,"quinoa, chickpeas, broccoli, spinach, cumin, avocado","1. Cook the quinoa until tender. 2. Sauté the chickpeas with cumin. 3. Add chopped broccoli and spinach, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",266.9,non-vegetarian,25
Beef & Rice Fusion Bowl 423,"rice, beef, mushrooms, zucchini, curry powder, seeds","1. Cook the rice until tender. 2. Sauté the beef with curry powder. 3. Add chopped mushrooms and zucchini, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",175.1,pescatarian,18
Chicken & Barley Fusion Bowl 424,"barley, chicken, carrots, kale, chili powder, lime","1. Cook the barley until tender. 2. Sauté the chicken with chili powder. 3. Add chopped carrots and kale, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",240.55,low-carb,15
Seitan & Barley Fusion Bowl 425,"barley, seitan, tomatoes, onions, sriracha, cheese","1. Cook the barley until tender. 2. Sauté the seitan with sriracha. 3. Add chopped tomatoes and onions, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",340,non-vegetarian,15
Chickpeas & Couscous Fusion Bowl 426,"couscous, chickpeas, onions, spinach, chili powder, maple syrup","1. Cook the couscous until tender. 2. Sauté the chickpeas with chili powder. 3. Add chopped onions and spinach, cook until soft. 4. Stir in maple syrup, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",311.95,pescatarian,25
Lentils & Couscous Fusion Bowl 427,"couscous, lentils, zucchini, carrots, garlic, lemon","1. Cook the couscous until tender. 2. Sauté the lentils with garlic. 3. Add chopped zucchini and carrots, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",365.5,high-protein,14
Kidney Beans & Bulgur Fusion Bowl 428,"bulgur, kidney beans, spinach, cauliflower, curry powder, nuts","1. Cook the bulgur until tender. 2. Sauté the kidney beans with curry powder. 3. Add chopped spinach and cauliflower, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",232.9,low-carb,30
Seitan & Oats Fusion Bowl 429,"oats, seitan, mushrooms, cauliflower, vinegar, lime","1. Cook the oats until tender. 2. Sauté the seitan with vinegar. 3. Add chopped mushrooms and cauliflower, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",362.95,gluten-free,12
Tofu & Bulgur Fusion Bowl 430,"bulgur, tofu, spinach, kale, curry powder, seeds","1. Cook the bulgur until tender. 2. Sauté the tofu with curry powder. 3. Add chopped spinach and kale, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",224.4,high-protein,21
Seitan & Bulgur Fusion Bowl 431,"bulgur, seitan, zucchini, mushrooms, turmeric, yogurt","1. Cook the bulgur until tender. 2. Sauté the seitan with turmeric. 3. Add chopped zucchini and mushrooms, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",409.7,high-protein,27
Chickpeas & Oats Fusion Bowl 432,"oats, chickpeas, zucchini, spinach, mustard, peanut butter","1. Cook the oats until tender. 2. Sauté the chickpeas with mustard. 3. Add chopped zucchini and spinach, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",381.65,dairy-free,13
